year_label,year,rank,institution_name,city,state,intl_students_total
2015/16,2015,9,Boston University,Boston,MA,8455
2015/16,2015,10,University of Washington,Seattle,WA,8259
2015/16,2015,11,Michigan State University,East Lansing,MI,8256
2015/16,2015,12,University of Texas - Dallas,Richardson,TX,8145
2015/16,2015,13,Pennsylvania State University - University Park,University Park,PA,8084
2015/16,2015,14,University of Michigan - Ann Arbor,Ann Arbor,MI,7630
2015/16,2015,15,University of California - San Diego,La Jolla,CA,7556
2015/16,2015,16,University of California - Berkeley,Berkeley,CA,7313
2015/16,2015,17,Indiana University - Bloomington,Bloomington,IN,7159
2015/16,2015,18,Ohio State University - Columbus,Columbus,OH,7117
2015/16,2015,19,Carnegie Mellon University,Pittsburgh,PA,7051
2015/16,2015,20,University of Minnesota - Twin Cities,Minneapolis,MN,7037
2015/16,2015,21,SUNY University at Buffalo,Buffalo,NY,7026
2015/16,2015,22,Texas A&M University - College Station,College Station,TX,6940
2015/16,2015,23,University of Florida,Gainesville,FL,6751
2015/16,2015,24,University of Wisconsin - Madison,Madison,WI,6440
2015/16,2015,25,University of Pennsylvania,Philadelphia,PA,6221
2016/17,2016,1,New York University,New York,NY,17326
2016/17,2016,2,University of Southern California,Los Angeles,CA,14327
2016/17,2016,3,Columbia University,New York,NY,14096
2016/17,2016,4,Northeastern University - Boston,Boston,MA,13201
2016/17,2016,5,Arizona State University - Tempe,Tempe,AZ,13164
2016/17,2016,6,University of Illinois - Urbana-Champaign,Champaign,IL,12454
2016/17,2016,7,University of California - Los Angeles,Los Angeles,CA,12199
2016/17,2016,8,Purdue University - West Lafayette,West Lafayette,IN,11288
2016/17,2016,9,University of Texas - Dallas,Richardson,TX,9305
2016/17,2016,10,Pennsylvania State University - University Park,University Park,PA,9134
2016/17,2016,11,University of California - San Diego,La Jolla,CA,9065
2016/17,2016,12,Boston University,Boston,MA,8992
2016/17,2016,13,University of Michigan - Ann Arbor,Ann Arbor,MI,8163
2016/17,2016,14,University of Washington,Seattle,WA,8019
2016/17,2016,15,University of California - Berkeley,Berkeley,CA,8000
2016/17,2016,16,Michigan State University,East Lansing,MI,7779
2016/17,2016,17,Ohio State University - Columbus,Columbus,OH,7684
2016/17,2016,18,Carnegie Mellon University,Pittsburgh,PA,7653
2016/17,2016,19,Indiana University - Bloomington,Bloomington,IN,7502
2016/17,2016,20,University of Texas - Arlington,Arlington,TX,7277
2016/17,2016,21,SUNY University at Buffalo,Buffalo,NY,7252
2016/17,2016,22,University of Minnesota - Twin Cities,Minneapolis,MN,7197
2016/17,2016,23,University of Florida,Gainesville,FL,7107
2016/17,2016,24,Texas A&M University - College Station,College Station,TX,6960
2016/17,2016,25,University of California - Irvine,Irvine,CA,6792
2017/18,2017,1,New York University,New York,NY,17552
2017/18,2017,2,University of Southern California,Los Angeles,CA,16075
2017/18,2017,3,Northeastern University - Boston,Boston,MA,14905
2017/18,2017,4,Columbia University,New York,NY,14615
2017/18,2017,5,Arizona State University - Tempe,Tempe,AZ,13459
2017/18,2017,6,University of Illinois - Urbana-Champaign,Champaign,IL,13445
2017/18,2017,7,University of California - Los Angeles,Los Angeles,CA,12017
2017/18,2017,8,Purdue University - West Lafayette,West Lafayette,IN,11044
2017/18,2017,9,University of California - San Diego,La Jolla,CA,9883
2017/18,2017,10,Boston University,Boston,MA,9742
2017/18,2017,11,University of Texas - Dallas,Richardson,TX,9713
2017/18,2017,12,University of California - Berkeley,Berkeley,CA,9331
2017/18,2017,13,University of Washington,Seattle,WA,8902
2017/18,2017,14,Pennsylvania State University - University Park,University Park,PA,8636
2017/18,2017,15,Carnegie Mellon University,Pittsburgh,PA,8604
2017/18,2017,16,University of Michigan - Ann Arbor,Ann Arbor,MI,8442
